"palavra,""tipo"""
"a fim de que,""AV"""
"Aarão,""SU"""
"aba,""SU"""
"abacate,""SU"""
"abacateiro,""SU"""
"abacaxi,""SU"""
"abaciais,""AJ"""
"abacial,""AJ"""
"ábaco,""SU"""
"abade,""SU"""
"abadessa,""SU"""
"abadessas,""SU"""
"abadia,""SU"""
"abafada,""AJ"""
"abafadas,""AJ"""
"abafadiça,""AJ"""
"abafadiças,""AJ"""
"abafadiço,""AJ"""
"abafadiços,""AJ"""
"abafado,""AJ"""
"abafados,""AJ"""
"abafamento,""SU"""
"abaixada,""AJ"""
"abaixadas,""AJ"""
"abaixado,""AJ"""
"abaixados,""AJ"""
"abaixo,""AV"""
"abalada,""AJ"""
"abaladas,""AJ"""
"abalado,""AJ"""
"abalados,""AJ"""
"abalo,""SU"""
"abalroada,""SU"""
"abalroamento,""SU"""
"abandonada,""AJ"""
"abandonadas,""AJ"""
"abandonado,""AJ"""
"abandonados,""AJ"""
"abandono,""SU"""
"abarracada,""AJ"""
"abarracadas,""AJ"""
"abarracado,""AJ"""
"abarracados,""AJ"""
"abarracamento,""SU"""
"abarrotamento,""SU"""
"abastada,""AJ"""
"abastadas,""AJ"""
"abastado,""AJ"""
"abastados,""AJ"""
"abastança,""SU"""
"abastecida,""AJ"""
"abastecidas,""AJ"""
"abastecido,""AJ"""
"abastecidos,""AJ"""
"abastecimento,""SU"""
"abatedouro,""SU"""
"abatida,""AJ"""
"abatidas,""AJ"""
"abatido,""AJ"""
"abatidos,""AJ"""
"abatimento,""SU"""
"abdicação,""SU"""
"abdicações,""SU"""
"abdome,""SU"""
"abdômen,""SU"""
"abdominais,""AJ"""
"abdominal,""AJ"""
"abecedário,""SU"""
"abeirada,""AJ"""
"abeiradas,""AJ"""
"abeirado,""AJ"""
"abeirados,""AJ"""
"Abelardo,""SU"""
"abelha,""SU"""
"abelheira,""AJ"""
"abelheiras,""AJ"""
"abelheiro,""AJ"""
"abelheiros,""AJ"""
"abelhinha,""SU"""
"abelhuda,""AJ"""
"abelhudas,""AJ"""
"abelhudo,""AJ"""
"abelhudos,""AJ"""
"abeliana,""AJ"""
"abelianas,""AJ"""
"abeliano,""AJ"""
"abelianos,""AJ"""
"abençoada,""AJ"""
"abençoadas,""AJ"""
"abençoado,""AJ"""
"abençoados,""AJ"""
"aberração,""SU"""
"aberrações,""SU"""
"aberta,""AJ"""
"abertamente,""AV"""
"abertas,""AJ"""
"aberto,""AJ"""
"abertos,""AJ"""
"abertura,""SU"""
"abeto,""SU"""
"abismais,""AJ"""
"abismal,""AJ"""
"abismo,""SU"""
"Abissínia,""SU"""
"abjeta,""AJ"""
"abjetas,""AJ"""
"abjeto,""AJ"""
"abjetos,""AJ"""
"abjudicação,""SU"""
"abjudicações,""SU"""
